record_id,cpse_name,local_material_code,description,category,supplied_unit,manufacturer,part_number,ground_truth_standard_material_id,ground_truth_standard_code,description_variant,hard_negative_standard_material_id,hard_negative_reason,synthetic_data_notice
SYN-REC-0011,Dakshin Steel Demo Works,LOC-FST-M6-36-G109-1,Hex Head Bolt M6 x 36 mm Grade 10.9,Fasteners,each,DemoForge Industries,DEMO-PN-003-1,SYN-CAN-003,SYN-FST-M6-36-G109,canonical_case,SYN-CAN-005,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0012,Narmada Power Demo Limited,LOC-FST-M6-36-G109-2,HEX BOLT M6 X 36MM CL 10.9,Fasteners,nos,Synthetic Process Systems,DEMO-PN-003-2,SYN-CAN-003,SYN-FST-M6-36-G109,abbreviation_capitalization,SYN-CAN-005,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0013,Vindhya Engineering Demo Services,LOC-FST-M6-36-G109-3,"bolt, hex-head; 36 mm; M6; grade-10.9",Fasteners,No.,Synthetic Process Systems,DEMO-PN-003-3,SYN-CAN-003,SYN-FST-M6-36-G109,punctuation_reordered,SYN-CAN-005,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0014,Astra Petrochem Demo Corporation,LOC-FST-M6-36-G109-4,10.9 property class carbon steel hexagonal screw M6 36 mm,Fasteners,each,Synthetic Process Systems,DEMO-PN-003-4,SYN-CAN-003,SYN-FST-M6-36-G109,equivalent_terminology,SYN-CAN-005,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0015,Bharat Thermal Demo Enterprise,LOC-FST-M6-36-G109-5,Hex bolt M6 length 36 mm; verify grade 10.9,Fasteners,pcs,DemoForge Industries,DEMO-PN-003-5,SYN-CAN-003,SYN-FST-M6-36-G109,near_duplicate_dimension,SYN-CAN-005,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0016,Narmada Power Demo Limited,LOC-FST-M6-42-G129-1,Hex Head Bolt M6 x 42 mm Grade 12.9,Fasteners,each,Synthetic Process Systems,DEMO-PN-004-1,SYN-CAN-004,SYN-FST-M6-42-G129,canonical_case,SYN-CAN-006,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0017,Vindhya Engineering Demo Services,LOC-FST-M6-42-G129-2,HEX BOLT M6 X 42MM CL 12.9,Fasteners,nos,Synthetic Process Systems,DEMO-PN-004-2,SYN-CAN-004,SYN-FST-M6-42-G129,abbreviation_capitalization,SYN-CAN-006,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0018,Astra Petrochem Demo Corporation,LOC-FST-M6-42-G129-3,"bolt, hex-head; 42 mm; M6; grade-12.9",Fasteners,No.,Synthetic Process Systems,DEMO-PN-004-3,SYN-CAN-004,SYN-FST-M6-42-G129,punctuation_reordered,SYN-CAN-006,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0019,Bharat Thermal Demo Enterprise,LOC-FST-M6-42-G129-4,12.9 property class carbon steel hexagonal screw M6 42 mm,Fasteners,each,Prototype Engineering Supply,DEMO-PN-004-4,SYN-CAN-004,SYN-FST-M6-42-G129,equivalent_terminology,SYN-CAN-006,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0020,Dakshin Steel Demo Works,LOC-FST-M6-42-G129-5,Hex bolt M6 length 42 mm; verify grade 12.9,Fasteners,pcs,Synthetic Process Systems,DEMO-PN-004-5,SYN-CAN-004,SYN-FST-M6-42-G129,near_duplicate_dimension,SYN-CAN-006,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0021,Vindhya Engineering Demo Services,LOC-FST-M8-32-G46-1,Hex Head Bolt M8 x 32 mm Grade 4.6,Fasteners,each,Synthetic Process Systems,DEMO-PN-005-1,SYN-CAN-005,SYN-FST-M8-32-G46,canonical_case,SYN-CAN-007,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0022,Astra Petrochem Demo Corporation,LOC-FST-M8-32-G46-2,HEX BOLT M8 X 32MM CL 4.6,Fasteners,nos,Synthetic Process Systems,DEMO-PN-005-2,SYN-CAN-005,SYN-FST-M8-32-G46,abbreviation_capitalization,SYN-CAN-007,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0023,Bharat Thermal Demo Enterprise,LOC-FST-M8-32-G46-3,"bolt, hex-head; 32 mm; M8; grade-4.6",Fasteners,No.,Prototype Engineering Supply,DEMO-PN-005-3,SYN-CAN-005,SYN-FST-M8-32-G46,punctuation_reordered,SYN-CAN-007,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0024,Dakshin Steel Demo Works,LOC-FST-M8-32-G46-4,4.6 property class carbon steel hexagonal screw M8 32 mm,Fasteners,each,DemoForge Industries,DEMO-PN-005-4,SYN-CAN-005,SYN-FST-M8-32-G46,equivalent_terminology,SYN-CAN-007,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0025,Narmada Power Demo Limited,LOC-FST-M8-32-G46-5,Hex bolt M8 length 32 mm; verify grade 4.6,Fasteners,pcs,DemoForge Industries,DEMO-PN-005-5,SYN-CAN-005,SYN-FST-M8-32-G46,near_duplicate_dimension,SYN-CAN-007,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0026,Astra Petrochem Demo Corporation,LOC-FST-M8-40-G88-1,Hex Head Bolt M8 x 40 mm Grade 8.8,Fasteners,each,Prototype Engineering Supply,DEMO-PN-006-1,SYN-CAN-006,SYN-FST-M8-40-G88,canonical_case,SYN-CAN-008,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0027,Bharat Thermal Demo Enterprise,LOC-FST-M8-40-G88-2,HEX BOLT M8 X 40MM CL 8.8,Fasteners,nos,Prototype Engineering Supply,DEMO-PN-006-2,SYN-CAN-006,SYN-FST-M8-40-G88,abbreviation_capitalization,SYN-CAN-008,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0028,Dakshin Steel Demo Works,LOC-FST-M8-40-G88-3,"bolt, hex-head; 40 mm; M8; grade-8.8",Fasteners,No.,Synthetic Process Systems,DEMO-PN-006-3,SYN-CAN-006,SYN-FST-M8-40-G88,punctuation_reordered,SYN-CAN-008,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0029,Narmada Power Demo Limited,LOC-FST-M8-40-G88-4,8.8 property class carbon steel hexagonal screw M8 40 mm,Fasteners,each,DemoForge Industries,DEMO-PN-006-4,SYN-CAN-006,SYN-FST-M8-40-G88,equivalent_terminology,SYN-CAN-008,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0030,Vindhya Engineering Demo Services,LOC-FST-M8-40-G88-5,Hex bolt M8 length 40 mm; verify grade 8.8,Fasteners,pcs,Prototype Engineering Supply,DEMO-PN-006-5,SYN-CAN-006,SYN-FST-M8-40-G88,near_duplicate_dimension,SYN-CAN-008,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0031,Bharat Thermal Demo Enterprise,LOC-FST-M8-48-G109-1,Hex Head Bolt M8 x 48 mm Grade 10.9,Fasteners,each,DemoForge Industries,DEMO-PN-007-1,SYN-CAN-007,SYN-FST-M8-48-G109,canonical_case,SYN-CAN-009,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0032,Dakshin Steel Demo Works,LOC-FST-M8-48-G109-2,HEX BOLT M8 X 48MM CL 10.9,Fasteners,nos,Prototype Engineering Supply,DEMO-PN-007-2,SYN-CAN-007,SYN-FST-M8-48-G109,abbreviation_capitalization,SYN-CAN-009,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0033,Narmada Power Demo Limited,LOC-FST-M8-48-G109-3,"bolt, hex-head; 48 mm; M8; grade-10.9",Fasteners,No.,Synthetic Process Systems,DEMO-PN-007-3,SYN-CAN-007,SYN-FST-M8-48-G109,punctuation_reordered,SYN-CAN-009,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0034,Vindhya Engineering Demo Services,LOC-FST-M8-48-G109-4,10.9 property class carbon steel hexagonal screw M8 48 mm,Fasteners,each,Synthetic Process Systems,DEMO-PN-007-4,SYN-CAN-007,SYN-FST-M8-48-G109,equivalent_terminology,SYN-CAN-009,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0035,Astra Petrochem Demo Corporation,LOC-FST-M8-48-G109-5,Hex bolt M8 length 48 mm; verify grade 10.9,Fasteners,pcs,Prototype Engineering Supply,DEMO-PN-007-5,SYN-CAN-007,SYN-FST-M8-48-G109,near_duplicate_dimension,SYN-CAN-009,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0036,Dakshin Steel Demo Works,LOC-FST-M8-56-G129-1,Hex Head Bolt M8 x 56 mm Grade 12.9,Fasteners,each,DemoForge Industries,DEMO-PN-008-1,SYN-CAN-008,SYN-FST-M8-56-G129,canonical_case,SYN-CAN-010,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0037,Narmada Power Demo Limited,LOC-FST-M8-56-G129-2,HEX BOLT M8 X 56MM CL 12.9,Fasteners,nos,DemoForge Industries,DEMO-PN-008-2,SYN-CAN-008,SYN-FST-M8-56-G129,abbreviation_capitalization,SYN-CAN-010,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0038,Vindhya Engineering Demo Services,LOC-FST-M8-56-G129-3,"bolt, hex-head; 56 mm; M8; grade-12.9",Fasteners,No.,Synthetic Process Systems,DEMO-PN-008-3,SYN-CAN-008,SYN-FST-M8-56-G129,punctuation_reordered,SYN-CAN-010,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0039,Astra Petrochem Demo Corporation,LOC-FST-M8-56-G129-4,12.9 property class carbon steel hexagonal screw M8 56 mm,Fasteners,each,Prototype Engineering Supply,DEMO-PN-008-4,SYN-CAN-008,SYN-FST-M8-56-G129,equivalent_terminology,SYN-CAN-010,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0040,Bharat Thermal Demo Enterprise,LOC-FST-M8-56-G129-5,Hex bolt M8 length 56 mm; verify grade 12.9,Fasteners,pcs,DemoForge Industries,DEMO-PN-008-5,SYN-CAN-008,SYN-FST-M8-56-G129,near_duplicate_dimension,SYN-CAN-010,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0041,Narmada Power Demo Limited,LOC-FST-M10-40-G46-1,Hex Head Bolt M10 x 40 mm Grade 4.6,Fasteners,each,Prototype Engineering Supply,DEMO-PN-009-1,SYN-CAN-009,SYN-FST-M10-40-G46,canonical_case,SYN-CAN-011,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0042,Vindhya Engineering Demo Services,LOC-FST-M10-40-G46-2,HEX BOLT M10 X 40MM CL 4.6,Fasteners,nos,Prototype Engineering Supply,DEMO-PN-009-2,SYN-CAN-009,SYN-FST-M10-40-G46,abbreviation_capitalization,SYN-CAN-011,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0043,Astra Petrochem Demo Corporation,LOC-FST-M10-40-G46-3,"bolt, hex-head; 40 mm; M10; grade-4.6",Fasteners,No.,Prototype Engineering Supply,DEMO-PN-009-3,SYN-CAN-009,SYN-FST-M10-40-G46,punctuation_reordered,SYN-CAN-011,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0044,Bharat Thermal Demo Enterprise,LOC-FST-M10-40-G46-4,4.6 property class carbon steel hexagonal screw M10 40 mm,Fasteners,each,DemoForge Industries,DEMO-PN-009-4,SYN-CAN-009,SYN-FST-M10-40-G46,equivalent_terminology,SYN-CAN-011,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0045,Dakshin Steel Demo Works,LOC-FST-M10-40-G46-5,Hex bolt M10 length 40 mm; verify grade 4.6,Fasteners,pcs,Prototype Engineering Supply,DEMO-PN-009-5,SYN-CAN-009,SYN-FST-M10-40-G46,near_duplicate_dimension,SYN-CAN-011,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0046,Vindhya Engineering Demo Services,LOC-FST-M10-50-G88-1,Hex Head Bolt M10 x 50 mm Grade 8.8,Fasteners,each,Synthetic Process Systems,DEMO-PN-010-1,SYN-CAN-010,SYN-FST-M10-50-G88,canonical_case,SYN-CAN-012,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0047,Astra Petrochem Demo Corporation,LOC-FST-M10-50-G88-2,HEX BOLT M10 X 50MM CL 8.8,Fasteners,nos,Synthetic Process Systems,DEMO-PN-010-2,SYN-CAN-010,SYN-FST-M10-50-G88,abbreviation_capitalization,SYN-CAN-012,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0048,Bharat Thermal Demo Enterprise,LOC-FST-M10-50-G88-3,"bolt, hex-head; 50 mm; M10; grade-8.8",Fasteners,No.,Synthetic Process Systems,DEMO-PN-010-3,SYN-CAN-010,SYN-FST-M10-50-G88,punctuation_reordered,SYN-CAN-012,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0049,Dakshin Steel Demo Works,LOC-FST-M10-50-G88-4,8.8 property class carbon steel hexagonal screw M10 50 mm,Fasteners,each,Prototype Engineering Supply,DEMO-PN-010-4,SYN-CAN-010,SYN-FST-M10-50-G88,equivalent_terminology,SYN-CAN-012,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0050,Narmada Power Demo Limited,LOC-FST-M10-50-G88-5,Hex bolt M10 length 50 mm; verify grade 8.8,Fasteners,pcs,Synthetic Process Systems,DEMO-PN-010-5,SYN-CAN-010,SYN-FST-M10-50-G88,near_duplicate_dimension,SYN-CAN-012,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0051,Astra Petrochem Demo Corporation,LOC-FST-M10-60-G109-1,Hex Head Bolt M10 x 60 mm Grade 10.9,Fasteners,each,Synthetic Process Systems,DEMO-PN-011-1,SYN-CAN-011,SYN-FST-M10-60-G109,canonical_case,SYN-CAN-013,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0052,Bharat Thermal Demo Enterprise,LOC-FST-M10-60-G109-2,HEX BOLT M10 X 60MM CL 10.9,Fasteners,nos,Prototype Engineering Supply,DEMO-PN-011-2,SYN-CAN-011,SYN-FST-M10-60-G109,abbreviation_capitalization,SYN-CAN-013,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0053,Dakshin Steel Demo Works,LOC-FST-M10-60-G109-3,"bolt, hex-head; 60 mm; M10; grade-10.9",Fasteners,No.,Synthetic Process Systems,DEMO-PN-011-3,SYN-CAN-011,SYN-FST-M10-60-G109,punctuation_reordered,SYN-CAN-013,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0054,Narmada Power Demo Limited,LOC-FST-M10-60-G109-4,10.9 property class carbon steel hexagonal screw M10 60 mm,Fasteners,each,DemoForge Industries,DEMO-PN-011-4,SYN-CAN-011,SYN-FST-M10-60-G109,equivalent_terminology,SYN-CAN-013,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0055,Vindhya Engineering Demo Services,LOC-FST-M10-60-G109-5,Hex bolt M10 length 60 mm; verify grade 10.9,Fasteners,pcs,Synthetic Process Systems,DEMO-PN-011-5,SYN-CAN-011,SYN-FST-M10-60-G109,near_duplicate_dimension,SYN-CAN-013,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0056,Bharat Thermal Demo Enterprise,LOC-FST-M10-70-G129-1,Hex Head Bolt M10 x 70 mm Grade 12.9,Fasteners,each,DemoForge Industries,DEMO-PN-012-1,SYN-CAN-012,SYN-FST-M10-70-G129,canonical_case,SYN-CAN-014,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0057,Dakshin Steel Demo Works,LOC-FST-M10-70-G129-2,HEX BOLT M10 X 70MM CL 12.9,Fasteners,nos,Synthetic Process Systems,DEMO-PN-012-2,SYN-CAN-012,SYN-FST-M10-70-G129,abbreviation_capitalization,SYN-CAN-014,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0058,Narmada Power Demo Limited,LOC-FST-M10-70-G129-3,"bolt, hex-head; 70 mm; M10; grade-12.9",Fasteners,No.,DemoForge Industries,DEMO-PN-012-3,SYN-CAN-012,SYN-FST-M10-70-G129,punctuation_reordered,SYN-CAN-014,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0059,Vindhya Engineering Demo Services,LOC-FST-M10-70-G129-4,12.9 property class carbon steel hexagonal screw M10 70 mm,Fasteners,each,DemoForge Industries,DEMO-PN-012-4,SYN-CAN-012,SYN-FST-M10-70-G129,equivalent_terminology,SYN-CAN-014,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0060,Astra Petrochem Demo Corporation,LOC-FST-M10-70-G129-5,Hex bolt M10 length 70 mm; verify grade 12.9,Fasteners,pcs,Synthetic Process Systems,DEMO-PN-012-5,SYN-CAN-012,SYN-FST-M10-70-G129,near_duplicate_dimension,SYN-CAN-014,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0061,Dakshin Steel Demo Works,LOC-FST-M12-48-G46-1,Hex Head Bolt M12 x 48 mm Grade 4.6,Fasteners,each,Synthetic Process Systems,DEMO-PN-013-1,SYN-CAN-013,SYN-FST-M12-48-G46,canonical_case,SYN-CAN-015,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0062,Narmada Power Demo Limited,LOC-FST-M12-48-G46-2,HEX BOLT M12 X 48MM CL 4.6,Fasteners,nos,DemoForge Industries,DEMO-PN-013-2,SYN-CAN-013,SYN-FST-M12-48-G46,abbreviation_capitalization,SYN-CAN-015,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0063,Vindhya Engineering Demo Services,LOC-FST-M12-48-G46-3,"bolt, hex-head; 48 mm; M12; grade-4.6",Fasteners,No.,DemoForge Industries,DEMO-PN-013-3,SYN-CAN-013,SYN-FST-M12-48-G46,punctuation_reordered,SYN-CAN-015,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0064,Astra Petrochem Demo Corporation,LOC-FST-M12-48-G46-4,4.6 property class carbon steel hexagonal screw M12 48 mm,Fasteners,each,Synthetic Process Systems,DEMO-PN-013-4,SYN-CAN-013,SYN-FST-M12-48-G46,equivalent_terminology,SYN-CAN-015,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0065,Bharat Thermal Demo Enterprise,LOC-FST-M12-48-G46-5,Hex bolt M12 length 48 mm; verify grade 4.6,Fasteners,pcs,DemoForge Industries,DEMO-PN-013-5,SYN-CAN-013,SYN-FST-M12-48-G46,near_duplicate_dimension,SYN-CAN-015,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0066,Narmada Power Demo Limited,LOC-FST-M12-60-G88-1,Hex Head Bolt M12 x 60 mm Grade 8.8,Fasteners,each,Synthetic Process Systems,DEMO-PN-014-1,SYN-CAN-014,SYN-FST-M12-60-G88,canonical_case,SYN-CAN-016,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0067,Vindhya Engineering Demo Services,LOC-FST-M12-60-G88-2,HEX BOLT M12 X 60MM CL 8.8,Fasteners,nos,Prototype Engineering Supply,DEMO-PN-014-2,SYN-CAN-014,SYN-FST-M12-60-G88,abbreviation_capitalization,SYN-CAN-016,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0068,Astra Petrochem Demo Corporation,LOC-FST-M12-60-G88-3,"bolt, hex-head; 60 mm; M12; grade-8.8",Fasteners,No.,Synthetic Process Systems,DEMO-PN-014-3,SYN-CAN-014,SYN-FST-M12-60-G88,punctuation_reordered,SYN-CAN-016,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0069,Bharat Thermal Demo Enterprise,LOC-FST-M12-60-G88-4,8.8 property class carbon steel hexagonal screw M12 60 mm,Fasteners,each,Synthetic Process Systems,DEMO-PN-014-4,SYN-CAN-014,SYN-FST-M12-60-G88,equivalent_terminology,SYN-CAN-016,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0070,Dakshin Steel Demo Works,LOC-FST-M12-60-G88-5,Hex bolt M12 length 60 mm; verify grade 8.8,Fasteners,pcs,Synthetic Process Systems,DEMO-PN-014-5,SYN-CAN-014,SYN-FST-M12-60-G88,near_duplicate_dimension,SYN-CAN-016,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0071,Vindhya Engineering Demo Services,LOC-FST-M12-72-G109-1,Hex Head Bolt M12 x 72 mm Grade 10.9,Fasteners,each,Synthetic Process Systems,DEMO-PN-015-1,SYN-CAN-015,SYN-FST-M12-72-G109,canonical_case,SYN-CAN-017,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0072,Astra Petrochem Demo Corporation,LOC-FST-M12-72-G109-2,HEX BOLT M12 X 72MM CL 10.9,Fasteners,nos,Prototype Engineering Supply,DEMO-PN-015-2,SYN-CAN-015,SYN-FST-M12-72-G109,abbreviation_capitalization,SYN-CAN-017,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
SYN-REC-0073,Bharat Thermal Demo Enterprise,LOC-FST-M12-72-G109-3,"bolt, hex-head; 72 mm; M12; grade-10.9",Fasteners,No.,Prototype Engineering Supply,DEMO-PN-015-3,SYN-CAN-015,SYN-FST-M12-72-G109,punctuation_reordered,SYN-CAN-017,Same material family/category but differing technical specification; not equivalent.,SYNTHETIC_DEMO_DATA_ONLY
