standard_material_id,standard_code,canonical_name,category,material,grade,specifications,canonical_unit,synthetic_data_notice
SYN-CAN-027,SYN-FST-M18-108-G109,Hex Head Bolt M18 x 108 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M18; length 108 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-028,SYN-FST-M18-126-G129,Hex Head Bolt M18 x 126 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M18; length 126 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-029,SYN-FST-M20-80-G46,Hex Head Bolt M20 x 80 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M20; length 80 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-030,SYN-FST-M20-100-G88,Hex Head Bolt M20 x 100 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M20; length 100 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-031,SYN-FST-M20-120-G109,Hex Head Bolt M20 x 120 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M20; length 120 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-032,SYN-FST-M20-140-G129,Hex Head Bolt M20 x 140 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M20; length 140 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-033,SYN-FST-M22-88-G46,Hex Head Bolt M22 x 88 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M22; length 88 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-034,SYN-FST-M22-110-G88,Hex Head Bolt M22 x 110 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M22; length 110 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-035,SYN-FST-M22-132-G109,Hex Head Bolt M22 x 132 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M22; length 132 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-036,SYN-FST-M22-154-G129,Hex Head Bolt M22 x 154 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M22; length 154 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-037,SYN-FST-M24-96-G46,Hex Head Bolt M24 x 96 mm Grade 4.6,Fasteners,Carbon Steel,4.6,ISO 4014; thread M24; length 96 mm; property class 4.6,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-038,SYN-FST-M24-120-G88,Hex Head Bolt M24 x 120 mm Grade 8.8,Fasteners,Carbon Steel,8.8,ISO 4014; thread M24; length 120 mm; property class 8.8,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-039,SYN-FST-M24-144-G109,Hex Head Bolt M24 x 144 mm Grade 10.9,Fasteners,Carbon Steel,10.9,ISO 4014; thread M24; length 144 mm; property class 10.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-040,SYN-FST-M24-168-G129,Hex Head Bolt M24 x 168 mm Grade 12.9,Fasteners,Carbon Steel,12.9,ISO 4014; thread M24; length 168 mm; property class 12.9,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-041,SYN-VLV-GAT-DN15-CL150,Gate Valve DN 15 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 15; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-042,SYN-VLV-GAT-DN15-CL300,Gate Valve DN 15 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 15; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-043,SYN-VLV-GAT-DN25-CL150,Gate Valve DN 25 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 25; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-044,SYN-VLV-GAT-DN25-CL300,Gate Valve DN 25 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 25; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-045,SYN-VLV-GAT-DN40-CL150,Gate Valve DN 40 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 40; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-046,SYN-VLV-GAT-DN40-CL300,Gate Valve DN 40 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 40; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-047,SYN-VLV-GAT-DN50-CL150,Gate Valve DN 50 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 50; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-048,SYN-VLV-GAT-DN50-CL300,Gate Valve DN 50 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 50; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-049,SYN-VLV-GAT-DN80-CL150,Gate Valve DN 80 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 80; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-050,SYN-VLV-GAT-DN80-CL300,Gate Valve DN 80 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 80; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-051,SYN-VLV-GLO-DN15-CL150,Globe Valve DN 15 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 15; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-052,SYN-VLV-GLO-DN15-CL300,Globe Valve DN 15 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 15; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-053,SYN-VLV-GLO-DN25-CL150,Globe Valve DN 25 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 25; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-054,SYN-VLV-GLO-DN25-CL300,Globe Valve DN 25 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 25; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-055,SYN-VLV-GLO-DN40-CL150,Globe Valve DN 40 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 40; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-056,SYN-VLV-GLO-DN40-CL300,Globe Valve DN 40 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 40; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-057,SYN-VLV-GLO-DN50-CL150,Globe Valve DN 50 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 50; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-058,SYN-VLV-GLO-DN50-CL300,Globe Valve DN 50 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 50; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-059,SYN-VLV-GLO-DN80-CL150,Globe Valve DN 80 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 80; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-060,SYN-VLV-GLO-DN80-CL300,Globe Valve DN 80 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 80; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-061,SYN-VLV-BAL-DN15-CL150,Ball Valve DN 15 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 15; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-062,SYN-VLV-BAL-DN15-CL300,Ball Valve DN 15 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 15; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-063,SYN-VLV-BAL-DN25-CL150,Ball Valve DN 25 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 25; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-064,SYN-VLV-BAL-DN25-CL300,Ball Valve DN 25 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 25; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-065,SYN-VLV-BAL-DN40-CL150,Ball Valve DN 40 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 40; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-066,SYN-VLV-BAL-DN40-CL300,Ball Valve DN 40 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 40; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-067,SYN-VLV-BAL-DN50-CL150,Ball Valve DN 50 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 50; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-068,SYN-VLV-BAL-DN50-CL300,Ball Valve DN 50 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 50; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-069,SYN-VLV-BAL-DN80-CL150,Ball Valve DN 80 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 80; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-070,SYN-VLV-BAL-DN80-CL300,Ball Valve DN 80 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 80; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-071,SYN-VLV-BUT-DN15-CL150,Butterfly Valve DN 15 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 15; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-072,SYN-VLV-BUT-DN15-CL300,Butterfly Valve DN 15 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 15; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-073,SYN-VLV-BUT-DN25-CL150,Butterfly Valve DN 25 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 25; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-074,SYN-VLV-BUT-DN25-CL300,Butterfly Valve DN 25 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 25; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-075,SYN-VLV-BUT-DN40-CL150,Butterfly Valve DN 40 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 40; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-076,SYN-VLV-BUT-DN40-CL300,Butterfly Valve DN 40 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 40; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-077,SYN-VLV-BUT-DN50-CL150,Butterfly Valve DN 50 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 50; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-078,SYN-VLV-BUT-DN50-CL300,Butterfly Valve DN 50 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 50; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-079,SYN-VLV-BUT-DN80-CL150,Butterfly Valve DN 80 Class 150 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 80; Class 150; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-080,SYN-VLV-BUT-DN80-CL300,Butterfly Valve DN 80 Class 300 RF Flanged,Piping Valves,Carbon Steel,ASTM A216 WCB,ASME B16.34; DN 80; Class 300; RF flange,each,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-081,SYN-CBL-COP-2CX2P5-1P1kV,Copper PVC Cable 2C x 2.5 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,2C x 2.5 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-082,SYN-CBL-COP-2CX2P5-3P3kV,Copper PVC Cable 2C x 2.5 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,2C x 2.5 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-083,SYN-CBL-COP-3CX4-1P1kV,Copper PVC Cable 3C x 4 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,3C x 4 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-084,SYN-CBL-COP-3CX4-3P3kV,Copper PVC Cable 3C x 4 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,3C x 4 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-085,SYN-CBL-COP-3CX6-1P1kV,Copper PVC Cable 3C x 6 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,3C x 6 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-086,SYN-CBL-COP-3CX6-3P3kV,Copper PVC Cable 3C x 6 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,3C x 6 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-087,SYN-CBL-COP-4CX10-1P1kV,Copper PVC Cable 4C x 10 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,4C x 10 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-088,SYN-CBL-COP-4CX10-3P3kV,Copper PVC Cable 4C x 10 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,4C x 10 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-089,SYN-CBL-COP-4CX16-1P1kV,Copper PVC Cable 4C x 16 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,4C x 16 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-090,SYN-CBL-COP-4CX16-3P3kV,Copper PVC Cable 4C x 16 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,4C x 16 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-091,SYN-CBL-ALU-2CX2P5-1P1kV,Aluminium XLPE Cable 2C x 2.5 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,2C x 2.5 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-092,SYN-CBL-ALU-2CX2P5-3P3kV,Aluminium XLPE Cable 2C x 2.5 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,2C x 2.5 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-093,SYN-CBL-ALU-3CX4-1P1kV,Aluminium XLPE Cable 3C x 4 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,3C x 4 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-094,SYN-CBL-ALU-3CX4-3P3kV,Aluminium XLPE Cable 3C x 4 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,3C x 4 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-095,SYN-CBL-ALU-3CX6-1P1kV,Aluminium XLPE Cable 3C x 6 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,3C x 6 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-096,SYN-CBL-ALU-3CX6-3P3kV,Aluminium XLPE Cable 3C x 6 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,3C x 6 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-097,SYN-CBL-ALU-4CX10-1P1kV,Aluminium XLPE Cable 4C x 10 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,4C x 10 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-098,SYN-CBL-ALU-4CX10-3P3kV,Aluminium XLPE Cable 4C x 10 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,4C x 10 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-099,SYN-CBL-ALU-4CX16-1P1kV,Aluminium XLPE Cable 4C x 16 sq mm 1.1 kV,Electrical Cables,Aluminium,IEC 60502,4C x 16 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-100,SYN-CBL-ALU-4CX16-3P3kV,Aluminium XLPE Cable 4C x 16 sq mm 3.3 kV,Electrical Cables,Aluminium,IEC 60502,4C x 16 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-101,SYN-CBL-COP-2CX2P5-1P1kV,Copper Control Cable 2C x 2.5 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,2C x 2.5 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-102,SYN-CBL-COP-2CX2P5-3P3kV,Copper Control Cable 2C x 2.5 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,2C x 2.5 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-103,SYN-CBL-COP-3CX4-1P1kV,Copper Control Cable 3C x 4 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,3C x 4 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-104,SYN-CBL-COP-3CX4-3P3kV,Copper Control Cable 3C x 4 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,3C x 4 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-105,SYN-CBL-COP-3CX6-1P1kV,Copper Control Cable 3C x 6 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,3C x 6 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-106,SYN-CBL-COP-3CX6-3P3kV,Copper Control Cable 3C x 6 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,3C x 6 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-107,SYN-CBL-COP-4CX10-1P1kV,Copper Control Cable 4C x 10 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,4C x 10 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-108,SYN-CBL-COP-4CX10-3P3kV,Copper Control Cable 4C x 10 sq mm 3.3 kV,Electrical Cables,Copper,IEC 60502,4C x 10 sq mm; rated voltage 3.3 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
SYN-CAN-109,SYN-CBL-COP-4CX16-1P1kV,Copper Control Cable 4C x 16 sq mm 1.1 kV,Electrical Cables,Copper,IEC 60502,4C x 16 sq mm; rated voltage 1.1 kV; insulated cable,metre,SYNTHETIC_DEMO_DATA_ONLY
